,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
30,Herat,20,AF,1515290100,40,34.35,62.22,35.6,1.61
31,Kasempa,24,ZM,1515292275,96,-13.46,25.83,59.82,6.2
32,Khani,90,GE,1515290400,93,41.96,42.96,48.2,8.05
33,Muros,20,ES,1515290400,100,42.77,-9.06,35.6,8.05
34,Elko,75,US,1515291120,89,40.83,-115.76,35.6,2.73
35,Bull Savanna,92,JM,1515292278,91,17.89,-77.59,69.49,3.18
36,Novoagansk,64,RU,1515292279,73,61.94,76.66,12.84,6.42
37,Gemena,8,CD,1515292280,77,3.25,19.78,66.39,2.28
38,Port Hardy,90,CA,1515290400,86,50.7,-127.42,41.0,17.22
39,Sobolevo,92,RU,1515292281,94,54.43,31.9,37.54,11.45
40,Carnarvon,0,ZA,1515292282,61,-30.97,22.13,53.2,4.97
41,Ban Nahin,92,LA,1515292283,100,18.24,104.21,71.52,2.95
42,Manavalakurichi,20,IN,1515290400,88,8.13,77.3,75.2,4.7
43,Mon,36,IN,1515292284,89,26.73,95.03,58.6,2.06
44,Neyshabur,92,IR,1515292286,93,36.21,58.79,31.51,0.38
45,Marystown,44,CA,1515292286,100,47.17,-55.16,25.35,33.6
46,Butaritari,76,KI,1515292290,100,3.07,172.79,83.08,12.12
47,Sorland,36,NO,1515292291,100,67.67,12.69,36.37,20.62
48,Oktyabrskoye,20,RU,1515292291,75,56.73,85.44,-3.01,7.76
49,Lompoc,90,US,1515290160,93,34.64,-120.46,57.2,5.82
50,Port Elizabeth,1,US,1515290160,51,39.31,-74.98,12.2,9.17
51,Upernavik,8,GL,1515292294,100,72.79,-56.15,7.93,6.53
52,Kiruna,0,SE,1515289800,78,67.86,20.23,8.6,6.93
53,Burns Lake,44,CA,1515292295,84,54.23,-125.76,20.85,3.96
54,Kologriv,92,RU,1515292296,96,58.83,44.31,27.91,8.88
55,Mackay,75,CA,1515290400,47,53.65,-115.58,33.8,12.75
56,Egvekinot,80,RU,1515292298,81,66.32,-179.17,10.5,5.08
57,Tiksi,48,RU,1515292299,59,71.64,128.87,-20.6,3.18
58,Kruisfontein,0,ZA,1515292299,86,-34.0,24.73,63.1,7.76
59,Tomiya,20,JP,1515290700,33,38.38,140.9,42.8,18.34
60,Inuvik,90,CA,1515290400,77,68.36,-133.71,1.4,5.82
61,Mamlyutka,0,KZ,1515290400,83,54.94,68.54,-9.41,8.95
62,Mana,0,RS,1515290400,100,43.52,20.24,44.6,1.12
63,Alta Floresta,92,BR,1515292303,98,-9.87,-56.08,71.52,2.17
64,Ballina,0,IE,1515292304,100,54.11,-9.15,24.13,4.41
65,Oussouye,0,SN,1515292305,86,12.49,-16.54,72.19,16.82
66,Auki,0,NG,1515292310,40,12.18,6.51,55.45,9.44
67,Palmerston,40,CA,1515290400,83,43.83,-80.85,-5.81,2.24
68,Tecate,8,US,1515290160,54,32.57,-116.63,62.6,9.17
69,Vestmanna,92,FO,1515289800,100,62.16,-7.17,37.4,18.34
70,Portland,20,US,1515290160,87,45.52,-122.67,44.6,4.7
71,La Sarre,0,CA,1515292169,33,48.8,-79.2,-22.94,7.2
72,Bumba,68,CD,1515292315,48,2.18,22.47,79.44,6.98
73,Nome,1,US,1515290100,61,30.04,-94.42,51.8,5.82
74,Itarema,64,BR,1515292316,89,-2.92,-39.92,75.52,6.98
75,Comodoro Rivadavia,0,AR,1515290400,64,-45.87,-67.48,68.0,8.05
76,Kurchum,24,KZ,1515292318,32,48.57,83.65,-22.49,1.16
77,Majene,88,ID,1515292319,100,-3.54,118.97,82.0,6.64
78,Mbini,40,GQ,1515286800,100,1.58,9.62,75.2,3.36
79,Vila Velha,75,BR,1515290400,74,-3.71,-38.6,82.4,10.29
80,Harper,1,US,1515290100,87,30.3,-99.24,51.8,3.36
81,Navalagunda,32,IN,1515292322,62,15.56,75.35,65.44,3.06
82,Tual,8,ID,1515292323,100,-5.67,132.75,83.4,2.62
83,Kutum,0,SD,1515292324,53,14.2,24.66,37.36,7.2
84,Abalak,0,NE,1515292325,46,15.46,6.28,51.22,11.23
85,Hovd,75,NO,1515289800,74,63.83,10.7,33.8,20.8
86,Kiama,40,AU,1515288480,23,-34.67,150.86,98.6,18.34
87,Senneterre,5,CA,1515290400,75,48.39,-77.24,-16.61,4.7
88,Huarmey,64,PE,1515292327,86,-10.07,-78.15,63.55,2.73
89,Bandarbeyla,88,SO,1515292328,100,9.49,50.81,74.4,16.15
90,Sanchor,0,IN,1515292329,52,24.76,71.77,51.76,5.19
91,Kilmallock,0,IE,1515288600,82,52.4,-8.57,33.8,8.05
92,Te Anau,88,NZ,1515292331,49,-45.41,167.72,61.39,7.76
93,Thinadhoo,0,MV,1515292331,100,0.53,72.93,82.05,12.68
94,Rumoi,75,JP,1515291420,92,43.93,141.67,23.0,8.05
95,Hasaki,75,JP,1515290400,36,35.73,140.83,46.4,9.17
96,Cherskiy,76,RU,1515292335,44,68.75,161.3,-27.94,3.96
97,Jacareacanga,92,BR,1515292335,98,-6.22,-57.76,72.19,2.95
98,Nathdwara,0,IN,1515292336,73,24.93,73.82,41.37,3.4
99,Shubarshi,0,KZ,1515292337,52,48.59,57.19,0.6,7.2
100,Bilma,0,NE,1515292339,80,18.69,12.92,46.77,3.85
101,Tautira,75,PF,1515290400,78,-17.73,-149.15,82.4,9.17
102,Kaili,64,ID,1515292341,82,-3.46,120.21,76.96,2.84
103,Gold Coast,0,AU,1515290400,61,-28.0,153.41,82.4,17.22
104,Miyako,75,JP,1515290400,57,33.63,130.94,46.4,9.17
105,Petropavlovsk-Kamchatskiy,0,RU,1515290400,52,53.05,158.65,19.4,13.42
106,Pecos,1,US,1515290100,45,31.42,-103.49,51.8,4.7
107,Zhezkazgan,0,KZ,1515290400,70,47.8,67.71,1.4,15.66
108,Jamestown,0,AU,1515292174,23,-33.21,138.6,95.64,9.66
109,Srednekolymsk,76,RU,1515292346,54,67.46,153.71,-31.81,3.4
110,Ushtobe,0,KZ,1515292347,0,45.25,77.98,-20.51,1.16
111,Maniitsoq,64,GL,1515292348,90,65.42,-52.9,25.84,25.43
112,Vestmannaeyjar,88,IS,1515292350,100,63.44,-20.27,33.31,21.07
113,Nouadhibou,40,MR,1515290400,88,20.93,-17.03,62.6,10.29
114,Churapcha,44,RU,1515292351,48,62.0,132.43,-29.87,3.74
115,Poronaysk,12,RU,1515292352,83,49.22,143.1,6.9,3.4
116,Kurilsk,8,RU,1515292352,100,45.23,147.88,26.29,17.05
117,Manggar,64,ID,1515292353,90,-2.88,108.27,84.61,4.29
118,Porto Novo,40,BR,1515290400,88,-23.68,-45.44,68.0,5.82
119,Buraydah,0,SA,1515286800,62,26.33,43.97,55.4,2.24
120,Jacobina,0,BR,1515292355,85,-11.19,-40.51,66.43,6.42
121,Mehamn,88,NO,1515292356,82,71.03,27.85,29.08,15.03
122,Paamiut,76,GL,1515292357,85,61.99,-49.67,34.89,21.3
123,Sur,0,OM,1515292358,100,22.57,59.53,66.39,9.1
124,Santa Cruz,1,US,1515290160,93,36.97,-122.03,55.4,2.28
125,Marquette,75,US,1515290160,60,46.54,-87.4,8.6,16.11
126,Guiratinga,56,BR,1515292361,96,-16.35,-53.76,67.33,2.73
127,Wynyard,88,CA,1515292362,89,51.77,-104.18,20.26,11.56
128,Shihezi,36,CN,1515292363,77,44.3,86.03,-12.46,1.61
129,Oktyabrskiy,40,RU,1515290400,93,55.61,37.97,35.6,6.71
130,Aksum,64,ET,1515292365,91,14.12,38.72,46.18,2.62
131,Klyuchi,0,RU,1515292366,0,52.25,79.17,-28.12,3.06
132,Pombia,90,IT,1515289800,100,45.65,8.63,44.6,5.82
133,Leningradskiy,56,RU,1515292368,83,69.38,178.42,9.73,18.05
134,Iwanai,56,JP,1515292370,100,42.97,140.51,31.33,17.05
135,Henties Bay,92,NA,1515292370,100,-22.12,14.28,63.42,5.64
136,Axim,0,GH,1515292371,99,4.87,-2.24,80.34,13.47
137,Humberto de Campos,80,BR,1515292372,100,-2.6,-43.46,77.86,8.99
138,Leninsk,90,RU,1515290400,92,48.69,45.2,28.4,8.95
139,Warrington,0,GB,1515291600,93,53.39,-2.59,35.6,9.17
140,Yellowknife,90,CA,1515290400,85,62.45,-114.38,10.4,9.17
141,Dillon,1,US,1515289980,78,45.22,-112.64,32.0,9.17
142,Saint-Prosper,20,CA,1515292377,30,46.21,-70.48,-7.51,11.9
143,Katsuura,75,JP,1515290400,70,33.93,134.5,44.6,8.05
144,Vysokogornyy,8,RU,1515292379,58,50.1,139.13,0.69,6.2
145,Cocobeach,40,GA,1515290400,94,1.01,9.58,77.0,3.36
146,Kapaa,75,US,1515290160,69,22.08,-159.32,75.2,18.34
147,Lasalgaon,0,IN,1515292385,69,20.14,74.24,55.0,2.73
148,Honiara,20,SB,1515290400,70,-9.43,159.96,87.8,6.93
149,Isangel,76,VU,1515292387,100,-19.55,169.27,79.75,13.35
150,Chipata,8,ZM,1515292388,97,-13.64,32.65,63.42,4.97
151,Broken Hill,100,AU,1515292389,22,-31.97,141.45,96.54,15.59
152,Kushiro,20,JP,1515290400,50,43.11,144.15,28.4,6.93
153,Anyang,44,CN,1515292390,83,36.1,114.34,33.72,4.63
154,Grindavik,90,IS,1515290400,86,63.84,-22.43,33.8,20.8
155,Reigate,68,GB,1515291600,74,51.24,-0.21,39.2,8.05
156,Miquelon,75,PM,1515290700,85,47.1,-56.38,19.4,35.57
157,San Jeronimo,92,PE,1515292394,96,-13.65,-73.37,45.64,1.83
158,Sapa,75,PH,1515290400,70,14.32,120.76,84.2,1.12
159,Ajdabiya,8,LY,1515292396,86,30.75,20.22,45.87,3.4
160,Lebu,20,ET,1515290400,76,8.96,38.73,50.0,4.7
161,Baoding,80,CN,1515292399,47,38.86,115.49,32.5,3.96
162,Shahrud,92,IR,1515292400,85,36.42,54.97,25.44,2.51
163,Cerkezkoy,75,TR,1515289800,100,41.28,28.0,33.8,2.24
164,Izhma,76,RU,1515292401,75,65.01,53.91,19.59,8.66
165,Kushima,75,JP,1515290400,61,31.5,131.29,48.2,8.05
166,Rawson,44,AR,1515292403,44,-43.3,-65.11,67.02,5.41
167,Komatsu,75,JP,1515290400,56,36.4,136.45,41.0,6.93
168,Swan Hill,12,AU,1515292406,30,-35.34,143.56,96.49,11.45
169,Ukiah,1,US,1515290160,81,39.15,-123.21,48.2,3.36
170,Kungurtug,12,RU,1515292407,46,50.6,97.53,-19.79,2.39
171,Lagoa,0,PT,1515290400,75,37.14,-8.45,44.6,5.82
172,Ambon,0,FR,1515290400,87,47.55,-2.56,42.8,12.75
173,Nueva Loja,12,EC,1515292410,94,0.08,-76.88,73.36,2.06
174,Gladstone,0,AU,1515292411,72,-23.84,151.26,83.67,12.24
175,Sao Felix do Xingu,44,BR,1515292411,99,-6.64,-51.99,71.25,1.95
176,Albany,75,US,1515290040,44,42.65,-73.75,-0.41,14.99
177,Mareeba,75,AU,1515290400,69,-16.99,145.42,82.4,19.46
178,Berea,75,US,1515291300,65,41.37,-81.85,8.6,6.93
179,Santa Maria do Para,64,BR,1515292415,83,-1.35,-47.58,76.6,6.2
180,Aklavik,90,CA,1515290400,77,68.22,-135.01,1.4,5.82
181,Muli,0,IN,1515292419,52,22.62,71.45,50.05,3.18
182,Dongsheng,100,CN,1515292419,94,29.72,112.52,34.89,11.23
183,Nikolskoye,40,RU,1515290400,80,59.7,30.79,33.8,8.95
184,Ornskoldsvik,8,SE,1515289800,85,63.29,18.72,17.6,21.92
185,Ketchikan,90,US,1515290160,87,55.34,-131.65,42.8,18.34
186,Normandin,5,CA,1515290400,57,48.84,-72.53,-11.21,12.75
187,Mujiayingzi,48,CN,1515292424,57,42.12,118.78,21.16,3.85
188,Mandalgovi,12,MN,1515292425,64,45.76,106.27,-11.6,6.53
189,Pokosnoye,68,RU,1515292427,71,55.53,101.05,5.68,8.55
190,Ust-Nera,8,RU,1515292427,0,64.57,143.24,-51.97,1.95
191,Khorixas,20,NA,1515292428,79,-20.37,14.96,64.9,3.96
192,Wabana,90,CA,1515290400,79,47.63,-52.95,23.0,34.45
193,Nova Olimpia,64,BR,1515292430,92,-14.8,-57.29,74.62,6.64
194,Maraa,76,BR,1515292430,87,-1.83,-65.37,76.06,4.97
195,Cap Malheureux,75,MU,1515290400,83,-19.98,57.61,80.6,17.22
196,Tuatapere,88,NZ,1515292432,80,-46.13,167.69,64.54,12.68
197,Noumea,32,NC,1515290400,43,-22.28,166.46,89.6,16.11
198,Road Town,90,VG,1515289980,94,18.42,-64.62,75.2,12.75
199,Alofi,8,NU,1515286800,66,-19.06,-169.92,86.0,14.99
200,Taree,0,AU,1515290400,37,-31.91,152.46,98.6,9.17
201,Vardo,1,US,1515290100,50,39.62,-77.74,14.0,13.87
202,New Norfolk,20,AU,1515290400,37,-42.78,147.06,68.0,14.99
203,Tilichiki,80,RU,1515292437,77,60.47,166.1,6.27,3.06
204,Madang,20,PG,1515292438,100,-5.21,145.81,81.24,4.18
205,Glenwood Springs,90,US,1515290160,86,39.55,-107.33,33.8,9.17
206,Hobart,20,AU,1515290400,37,-42.88,147.33,68.0,14.99
207,Port Augusta,0,AU,1515290400,57,-32.49,137.76,77.0,21.92
208,Atar,0,MR,1515292441,41,20.52,-13.05,46.5,5.41
209,Asyut,0,EG,1515290400,76,27.18,31.19,48.2,4.7
210,Salalah,0,OM,1515289800,52,17.01,54.1,66.2,2.24
211,Dunning,0,GB,1515291600,92,56.31,-3.59,28.4,3.36
212,Deputatskiy,24,RU,1515292445,0,69.3,139.9,-40.99,3.96
213,Abong Mbang,0,CM,1515292446,91,3.98,13.18,60.85,2.39
214,Sosua,40,DO,1515290400,88,19.77,-70.52,75.2,4.7
215,Avarua,40,CK,1515290400,61,-21.21,-159.78,82.4,11.41
216,Namtsy,24,RU,1515292448,0,62.72,129.66,-37.25,2.73
217,Fonte Boa,76,BR,1515292257,79,-2.51,-66.09,79.57,6.76
218,Bathsheba,40,BB,1515290400,78,13.22,-59.52,78.8,21.92
219,Pyapon,0,MM,1515292450,81,16.29,95.68,80.79,4.74
220,Chingirlau,88,KZ,1515292451,91,51.09,54.08,21.57,6.98
221,Yulara,0,AU,1515290400,28,-25.24,130.99,96.8,14.99
222,San Quintin,20,PH,1515290400,70,17.54,120.52,84.2,4.7
223,Marsa Matruh,20,EG,1515290400,93,31.35,27.25,50.0,3.06
224,Dingle,56,PH,1515292455,80,11.0,122.67,81.87,10.78
225,Skibbereen,0,IE,1515290400,80,51.55,-9.27,35.6,13.87
226,Kulhudhuffushi,0,MV,1515292456,100,6.62,73.07,80.02,3.51
227,Hambantota,0,LK,1515292457,100,6.12,81.12,76.69,6.98
228,Seymchan,68,RU,1515292457,52,62.93,152.39,-18.89,5.08
229,Ilulissat,32,GL,1515289800,53,69.22,-51.1,21.2,18.34
230,Tabuk,0,PH,1515292459,80,17.41,121.44,75.75,2.51
231,Nioro,0,GM,1515292460,47,13.79,-15.05,64.18,6.2
232,Brigantine,1,US,1515290400,46,39.41,-74.36,12.2,10.29
233,Barrow,12,AR,1515292461,46,-38.31,-60.23,61.35,8.21
234,Praya,20,ID,1515290400,74,-8.71,116.27,86.0,4.7
235,Mangrol,0,IN,1515292463,82,25.33,76.51,48.07,2.17
236,Kununurra,75,AU,1515290400,66,-15.77,128.74,86.0,5.82
237,Hamilton,75,BM,1515290100,63,32.3,-64.78,60.8,12.75
238,Vanavara,80,RU,1515292466,80,60.35,102.28,7.93,3.29
239,Coquimbo,90,CL,1515290400,87,-29.95,-71.34,59.0,3.36
240,Ust-Kuyga,36,RU,1515292468,44,70.0,135.55,-28.12,3.18
241,Mitzic,24,GA,1515292469,98,0.78,11.55,67.92,1.95
242,Longyearbyen,0,NO,1515289800,57,78.22,15.63,19.4,11.41
243,Srandakan,92,ID,1515292470,79,-7.94,110.25,81.82,4.18
244,Baruun-Urt,44,MN,1515292471,79,46.68,113.28,1.9,13.91
245,Abbeville,90,FR,1515290400,75,50.11,1.83,41.0,11.41
246,Leirvik,36,NO,1515291600,86,59.78,5.5,28.4,9.17
247,East London,0,ZA,1515292473,100,-33.02,27.91,71.38,7.99
248,Maxixe,100,MZ,1515292474,97,-23.86,35.35,76.78,10.0
249,Tall Kayf,0,TR,1515292474,66,37.08,41.07,26.34,3.74
250,Iqaluit,90,CA,1515290400,76,63.75,-68.52,-9.41,40.26
251,Bambous Virieux,75,MU,1515290400,83,-20.34,57.76,80.6,17.22
252,Balkhash,0,KZ,1515292478,66,46.84,74.98,-0.8,9.78
253,Shingu,75,JP,1515290400,45,33.72,135.99,46.4,13.87
254,Myitkyina,0,MM,1515292479,83,25.38,97.4,59.19,2.39
255,Miranda,75,CO,1515290400,83,3.25,-76.23,73.4,3.36
256,Garowe,0,SO,1515292480,91,8.41,48.48,50.59,3.85
257,Necochea,20,AR,1515292387,60,-38.55,-58.74,60.45,8.66
258,Sept-Iles,75,CA,1515290400,43,50.2,-66.38,-5.81,13.87
259,Victoria,75,BN,1515288600,94,5.28,115.24,82.4,4.7
260,Hailar,32,CN,1515292484,82,49.2,119.7,1.99,9.78
261,Saint Anthony,90,US,1515290700,100,43.97,-111.68,33.8,3.36
262,Shangzhi,24,CN,1515292486,75,45.21,127.96,16.62,8.43
263,Marawi,36,PH,1515292487,84,8.0,124.29,79.75,1.61
264,Krasnyy Yar,76,RU,1515292488,83,50.7,44.73,17.47,8.88
265,Provideniya,92,RU,1515292488,100,64.42,-173.23,28.99,25.1
266,Vilyuysk,68,RU,1515292489,49,63.75,121.63,-16.82,4.63
267,Taoudenni,0,ML,1515292490,30,22.68,-3.98,49.51,10.11
268,Araceli,24,PH,1515292491,97,10.55,119.99,82.09,12.91
269,Matara,92,PE,1515292491,96,-13.74,-72.9,45.64,1.83
270,Flinders,40,AU,1515288480,23,-34.58,150.85,98.6,18.34
271,Port Blair,20,IN,1515292494,100,11.67,92.75,81.24,10.89
272,Nyrob,76,RU,1515292495,82,60.74,56.73,14.64,14.14
273,Westerland,90,NL,1515291900,100,52.89,4.93,41.0,24.16
274,Dawlatabad,92,AF,1515292496,93,36.41,64.91,42.72,5.08
275,Kitui,24,KE,1515292497,70,-1.37,38.02,58.78,3.4
276,Lapao,0,BR,1515292432,86,-11.38,-41.83,64.81,5.19
277,Mount Vernon,1,US,1515291300,65,37.94,-87.9,14.0,8.43
278,Ahuimanu,75,US,1515290220,69,21.44,-157.84,78.8,11.41
279,Izumo,75,JP,1515290400,86,35.37,132.75,44.6,4.7
280,Banda Aceh,20,ID,1515292384,85,5.56,95.32,80.38,2.62
281,Esperance,40,TT,1515290400,88,10.24,-61.45,75.2,10.29
282,La Ronge,90,CA,1515290400,92,55.1,-105.3,17.6,3.36
283,Rikitea,8,PF,1515292503,95,-23.12,-134.97,80.97,24.65
284,Kapit,92,MY,1515292503,94,2.02,112.94,75.7,2.73
285,San Carlos,36,VE,1515292505,51,9.66,-68.59,80.56,7.87
286,Babu,100,CN,1515292506,92,23.23,104.89,58.06,3.18
287,North Myrtle Beach,1,US,1515291300,38,33.83,-78.68,24.8,3.36
288,Cookeville,1,US,1515291300,84,36.16,-85.5,17.6,5.19
289,Xai-Xai,92,MZ,1515292508,100,-25.04,33.64,75.34,7.31
290,Khatanga,32,RU,1515292509,40,71.98,102.47,-25.91,2.73
291,Mar del Plata,48,AR,1515292509,45,-46.43,-67.52,70.35,18.39
292,Soria,92,ES,1515292510,94,41.76,-2.46,30.25,11.79
293,Aksu,0,KZ,1515290400,75,52.04,76.93,-16.61,4.47
294,Port Alfred,0,ZA,1515292512,98,-33.59,26.89,66.7,4.41
295,Baherden,44,TM,1515292513,94,38.44,57.43,33.27,2.62
296,Whitehorse,75,CA,1515290400,92,60.72,-135.06,19.4,4.7
297,Sorong,8,ID,1515292515,100,-0.86,131.25,82.54,3.96
298,Skjervoy,44,NO,1515292467,100,70.03,20.97,30.52,10.89
299,Kaeo,0,NZ,1515292516,51,-35.1,173.78,74.67,15.03
300,Chandler,1,US,1515290280,29,33.31,-111.84,68.0,2.51
301,Fortuna,0,ES,1515292200,75,38.18,-1.13,42.8,5.82
302,Omboue,80,GA,1515292518,100,-1.57,9.26,76.87,7.2
303,Gashua,0,NG,1515292520,47,12.87,11.04,52.35,6.42
304,Namatanai,0,PG,1515292521,89,-3.66,152.44,86.82,4.97
305,Keuruu,0,FI,1515291600,85,62.26,24.71,19.4,11.41
306,Hithadhoo,8,MV,1515292523,100,-0.6,73.08,82.5,14.7
307,Golpayegan,64,IR,1515292525,97,33.46,50.29,25.48,2.73
308,Saint George,0,GR,1515289800,93,39.45,22.34,41.0,6.93
309,Sinnamary,100,GF,1515292279,100,5.38,-52.96,77.64,10.0
310,Mount Gambier,0,AU,1515292526,37,-37.83,140.78,78.94,3.74
311,Saint-Ambroise,90,FR,1515290400,87,47.25,-0.65,44.6,10.29
312,Chernyshevskiy,56,RU,1515292527,70,63.01,112.47,1.0,3.74
313,Jacala,32,MX,1515292529,98,21.0,-99.19,49.87,1.61
314,Xacmaz,56,AZ,1515292529,91,41.46,48.81,26.7,0.94
315,Rome,0,IT,1515290100,48,41.89,12.48,60.8,12.75
316,Ponta do Sol,100,BR,1515292531,98,-20.63,-46.0,66.52,3.96
317,Berdigestyakh,48,RU,1515292532,30,62.1,126.7,-21.37,3.74
318,Lambarene,44,GA,1515292532,99,-0.7,10.22,72.6,2.06
319,Saint-Augustin,90,FR,1515292200,100,44.83,-0.61,44.6,11.41
320,Gorshechnoye,92,RU,1515292534,96,51.52,38.03,36.01,11.79
321,Mataura,92,NZ,1515292535,50,-46.19,168.86,65.8,6.87
322,Ribeira Grande,92,PT,1515292535,100,38.52,-28.7,64.18,16.26
323,Nyurba,64,RU,1515292536,37,63.29,118.35,-11.24,5.19
324,Biak,88,ID,1515292537,95,-0.91,122.88,80.92,2.62
325,Carballo,92,ES,1515292200,100,43.21,-8.69,37.4,9.55
326,Codrington,0,AU,1515292538,56,-28.95,153.24,88.03,2.84
327,Misawa,75,JP,1515291540,86,40.75,141.38,28.4,8.05
328,Ishigaki,75,JP,1515290400,93,24.34,124.16,66.2,18.34
329,Vilhena,24,BR,1515292540,96,-12.74,-60.15,70.48,2.51
330,Cape Town,88,ZA,1515292541,98,-33.93,18.42,64.5,14.14
331,Taksimo,36,RU,1515292542,57,56.36,114.84,3.43,1.83
332,Bethel,90,US,1515289980,100,60.79,-161.76,33.8,11.41
333,Luanda,40,AO,1515286800,88,-8.83,13.24,77.0,2.24
334,Aksha,56,RU,1515292544,64,50.28,113.29,9.1,10.22
335,Salvador,40,BR,1515290400,78,-12.98,-38.48,80.6,11.41
336,Qaanaaq,36,GL,1515292547,99,77.48,-69.36,-6.38,12.68
337,Caravelas,0,BR,1515292547,100,-17.73,-39.27,79.12,13.91
338,Healdsburg,20,US,1515290160,76,38.61,-122.87,53.6,4.7
339,Jaisalmer,0,IN,1515292549,84,26.91,70.91,43.89,3.29
340,Souillac,90,FR,1515292200,87,45.6,-0.6,46.4,17.22
341,Campbell River,90,CA,1515290400,100,50.02,-125.24,39.2,2.51
342,Arraial do Cabo,88,BR,1515292551,97,-22.97,-42.02,75.79,6.53
343,Saldanha,56,PT,1515292552,86,41.42,-6.55,32.14,6.53
344,Diamantino,24,BR,1515292553,96,-14.4,-56.44,71.79,3.62
345,Shimoda,75,JP,1515290400,37,34.7,138.93,50.0,8.05
346,Nemuro,40,JP,1515290400,63,43.32,145.57,26.6,11.41
347,Port Lincoln,56,AU,1515292558,80,-34.72,135.86,68.64,13.13
348,Puerto Ayora,0,EC,1515292558,100,-0.74,-90.35,71.2,11.01
349,Hermanus,32,ZA,1515292559,92,-34.42,19.24,58.78,3.96
350,Kavieng,24,PG,1515292560,100,-2.57,150.8,85.47,7.09
351,College,1,US,1515290280,83,64.86,-147.8,-5.81,6.08
352,Belaya Kholunitsa,92,RU,1515292561,82,58.84,50.85,14.59,13.91
353,Raudeberg,88,NO,1515291600,80,61.99,5.14,33.8,17.22
354,Sidi Ali,64,DZ,1515292563,88,36.1,0.42,46.59,12.35
355,Narsaq,88,GL,1515289800,33,60.91,-46.05,30.2,54.13
356,Artesia,1,US,1515291300,34,32.84,-104.4,51.8,12.75
357,Praia da Vitoria,75,PT,1515290400,87,38.73,-27.07,60.8,15.26
358,Sola,90,FI,1515291600,85,62.78,29.36,24.8,17.22
359,Angoram,36,PG,1515292567,58,-4.06,144.07,91.45,2.84
360,Fort-Shevchenko,48,KZ,1515292568,100,44.51,50.26,28.36,8.77
361,Goure,0,NE,1515292569,50,13.98,10.27,53.7,8.43
362,Ancud,92,CL,1515292569,99,-41.87,-73.83,57.88,4.18
363,Chifeng,48,CN,1515292570,57,42.27,118.96,21.16,3.85
364,West Fargo,1,US,1515291300,78,46.88,-96.9,14.0,27.51
365,Zonguldak,0,TR,1515292571,90,41.25,31.83,36.1,3.4
366,Isiro,8,CD,1515292572,70,2.77,27.62,63.55,3.85
367,Kirakira,0,SB,1515292572,100,-10.46,161.92,84.25,6.53
368,Teya,75,MX,1515289500,60,21.05,-89.07,71.6,6.2
369,Bredasdorp,24,ZA,1515292574,93,-34.53,20.04,68.14,21.74
370,Feijo,75,EC,1515290400,69,-3.63,-79.92,78.8,4.7
371,Yurginskoye,0,RU,1515292575,69,56.82,67.39,-0.94,5.3
372,San Joaquin,56,PH,1515292576,80,10.59,122.14,81.87,10.78
373,Laguna,75,MX,1515289260,43,27.52,-110.01,71.6,2.62
